Year of project,Organization id,Organization type,Role in organization,Size of organization,Size of IT department,Customer organization type,Development type,Application domain,Object points,Other sizing method,Estimated size,Actual effort,Contract maturity,Government policy impact,Economic instability impact,Organization management structure clarity,Developer hiring policy,Developer incentives policy ,Developer training,Development team management,Top management support,Top management opinion of previous system,Clarity of manual system,User resistance,User computer experience, Users stability , Requirment stability , Requirements flexibility ,Project manager experience,Consultant availability,DBMS  expert availability,Precedentedness,Software tool experience,Programmers experience in programming language,Programmers capability ,Analysts capability ,Team selection,Team size,Dedicated team members,Daily working hours,Team contracts,Team continuity ,Team cohesion,Income satisfaction,Schedule quality,Development environment adequacy,Tool availability ,Methodology,# Multiple programing languages ,Programming language used,DBMS used,Technical stability,Open source software,Level of outsourcing,Outsourcing impact,Degree of software reuse ,Degree of risk management,Use of standards,Degree of standards usage, Process reengineering ,Requirement accuracy level,Technical documentation,User manual,Required reusability,Performance requirements,Product complexity,Security requirements,Reliability requirements,Specified H/W
2015,1,1,1,16,7,13,1,7,100,2,N/A,3168,8,4,1,2,1,8,3,4,4,1,2,1.75,2,  1.89 ,  2.59 ,  4.56 ,2,3,0,2,2,2,2,1,3,6,6,8,1,16.66666667,2,3,2,1,7,2,1,1,1,1,1,3,N/A,5,3,3,N/A,  1.89 ,?,1,1,2,1,2,2,3,1
2016,25,5,1,2,1,2,1,3,19,2,N/A,1584,4,4,3,1,2,6,3,7,4,1,4,2.5,2,  1.89 ,  2.90 ,  4.56 ,1,3,0,2,5,2,2,2,3,3,3,8,1,0,6,4,2,1,8,1,2,5,1,1,1,3,N/A,5,3,3,N/A,  4.56 ,2,2,1,1,1,1,4,2,1
2008,2,5,3,2,2,3,1,3,64,3,50,5280,4,5,2,3,4,6,3,6,1,0,6,2,2,  1.89 ,  1.00 ,  1.89 ,2,2,1,4,1,1,2,2,2,6,6,8,1,0,5,2,1,1,8,3,1,3,1,1,0,3,N/A,5,2,3,N/A,  1.44 ,3,2,2,4,4,3,5,2,3
2009,42,4,2,3,2,4,1,7,246,5,70,5280,2,4,1,1,1,4,3,7,4,1,3,3.25,2,  5.00 ,  2.51 ,  1.00 ,1,1,1,4,1,1,4,4,2,6,4,8,2,0,1,2,1,1,4,2,1,4,2,2,0,1,1,3,1,2,6,  1.44 ,1,1,4,4,2,4,3,4,2
2016,42,4,2,3,2,4,1,7,420,5,120,38016,3,4,3,1,2,3,3,2,4,1,3,2.75,2,  1.89 ,  4.65 ,  1.00 ,1,2,1,4,2,1,4,4,3,9,9,8,1,44.44444444,2,3,1,1,4,2,3,24,2,1,0,3,N/A,3,1,3,N/A,  1.00 ,1,1,4,4,4,3,3,4,2
2012,42,4,2,3,2,4,4,7,177,5,76,9856,3,4,2,1,2,3,3,2,4,0,2,1.75,3,  4.56 ,  4.41 ,  1.00 ,1,3,1,4,1,1,4,4,3,7,7,8,1,14.28571429,1,2,1,1,4,2,1,4,3,1,0,3,N/A,3,1,3,N/A,  1.00 ,1,1,4,4,4,3,3,4,2
2016,42,4,1,3,1,4,1,7,54,5,5,7920,3,4,1,1,2,4,2,2,4,0,4,3.5,1,  5.00 ,  3.38 ,  1.00 ,2,1,1,4,2,2,4,4,3,5,5,8,2,0,1,2,1,1,4,2,1,6,3,1,0,1,1,5,1,3,N/A,  1.00 ,1,1,4,4,4,4,3,4,2
2018,42,4,4,3,2,4,1,7,71,5,50,4400,3,5,2,1,2,4,2,3,4,0,3,4,2,  1.89 ,  2.67 ,  1.00 ,2,2,0,4,1,1,4,4,3,5,5,10,1,0,1,2,1,1,4,3,3,25,3,3,0,3,N/A,2,1,3,N/A,  1.00 ,1,1,2,4,4,4,4,4,2
2018,42,4,4,3,1,4,1,3,14,5,5,4224,3,5,1,1,2,3,3,2,4,0,3,2.25,2,  1.89 ,  1.71 ,  1.89 ,1,1,1,3,1,1,4,4,3,4,4,8,1,0,1,2,1,1,8,2,1,2,3,1,0,3,N/A,3,1,3,N/A,  1.44 ,1,1,4,2,4,4,3,4,2
2015,3,5,2,1,1,14,1,2,335,4,6,24255,4,5,2,1,3,4,1,6,5,1,3,3.75,1,  4.56 ,  2.51 ,  4.56 ,1,3,1,2,3,3,1,1,3,4,3,7,1,0,1,1,3,1,8,3,1,4,2,1,0,3,N/A,5,3,3,N/A,  1.44 ,?,4,4,4,1,1,2,2,2
2001,4,4,2,3,3,3,1,1,?,1,17500,35640,3,?,4,1,3,6,3,4,3,0,3,1.25,1,  4.11 ,  3.86 ,  1.89 ,1,2,1,4,2,1,1,1,3,7,3,9,1,0,1,3,2,1,8,3,1,7,2,1,0,1,3,5,3,3,N/A,  1.00 ,1,4,4,4,1,1,3,2,3
2000,5,5,2,2,2,2,1,5,36,2,N/A,7920,5,3,1,3,4,5,2,4,5,0,4,2,2,  4.56 ,  2.75 ,  1.44 ,1,3,1,3,4,2,1,1,3,4,4,10,2,0,1,2,1,1,8,1,1,8,3,2,0,3,N/A,5,3,3,N/A,  4.11 ,1,1,1,4,1,1,2,2,1
2016,6,5,2,1,1,5,1,2,30,2,N/A,1760,5,5,3,1,4,7,3,6,5,1,6,3.75,2,  5.00 ,  2.75 ,  1.44 ,1,3,1,2,1,1,1,1,1,3,2,8,2,33.33333333,1,2,2,1,8,2,1,7,2,1,0,3,N/A,4,3,3,N/A,  1.44 ,4,2,2,2,2,1,2,1,1
2009,6,5,2,1,1,6,1,2,409,2,N/A,3080,4,5,3,1,4,7,2,6,3,1,5,2,1,  1.89 ,  2.19 ,  1.44 ,1,3,1,1,1,2,1,1,1,5,2,8,4,0,2,2,1,1,8,6,1,7,2,1,0,3,N/A,4,3,3,N/A,  1.44 ,1,3,2,2,2,2,2,1,1
2010,6,5,2,1,1,7,1,7,30,2,N/A,2112,4,5,1,1,4,7,1,6,4,1,5,2,2,  1.89 ,  1.32 ,  1.89 ,1,3,1,2,2,1,1,1,3,4,2,8,3,0,1,3,1,1,8,6,1,7,2,1,0,3,N/A,4,3,3,N/A,  1.44 ,1,1,1,2,1,1,2,1,1
2016,6,5,2,1,1,8,1,2,163,2,N/A,2640,4,5,1,1,4,7,3,6,4,0,8,4,1,  1.89 ,  2.11 ,  4.56 ,1,3,1,2,2,1,1,1,1,4,2,8,3,0,2,3,1,1,8,2,1,7,2,1,0,3,N/A,3,3,3,N/A,  1.89 ,4,1,1,2,1,2,2,1,1
2014,6,5,2,1,1,6,2,2,91,2,N/A,1760,5,3,1,1,4,7,3,10,4,0,6,2.25,1,  1.89 ,  1.63 ,  1.89 ,1,3,1,1,2,1,1,1,3,4,1,8,3,0,4,2,2,1,8,6,1,7,2,1,0,3,N/A,3,3,3,N/A,  4.11 ,1,3,1,2,1,2,2,1,1
2012,6,5,2,1,1,2,3,5,60,2,N/A,396,5,3,1,1,4,7,3,6,5,0,4,2,1,  1.89 ,  1.00 ,  1.00 ,1,3,1,1,2,1,1,1,1,2,1,8,3,0,1,2,1,1,8,6,1,7,2,1,0,3,N/A,3,3,3,N/A,  4.11 ,1,3,1,2,1,1,2,1,1
